questions,links,notes,TAGS,semanticsearch,client,id
כמה מפגעים קיימים בעיר בסהכ,,180,"מפגעים,סהכ,סה״כ,בסך הכל,בסכום הכולל,בני ברק",כמה מפגעים קיימים בעיר בסהכ-180,בני ברק,0
כמה מפגעי מדרכה קיימים,,152,"מפגעים,מפגעי מדרכה,מדרכה,מדרכות,בני ברק",כמה מפגעי מדרכה קיימים-152,בני ברק,1
כמה מפגעי כביש קיימים,,20,"מפגעים,מפגעי כביש,כביש,כבישים,בני ברק",כמה מפגעי כביש קיימים-20,בני ברק,2
כמה מפגעי תמרורים קיימים,,1,"מפגעים,מפגעי תמרור,תמרורים,בני ברק",כמה מפגעי תמרורים קיימים-1,בני ברק,3
כמה מפגעי תברואה קיימים,,2,"מפגעים,מפגעי תברואה,בני ברק",כמה מפגעי תברואה קיימים-1,בני ברק,4
כמה מפגעי תאורה וחשמל קיימים,,0,"מפגעים,תאורה,חשמל,תאורה,חשמל,בני ברק",כמה מפגעי תאורה וחשמל קיימים-0,בני ברק,5
כמה מפגעי ריהוט והצללה קיימים,,0,"מפגעים,ריהוט,הצללה,ריהטים,הצללות,בני ברק",כמה מפגעי ריהוט והצללה קיימים-0,בני ברק,6
כמה מפגעים קשים קיימים,,40,"מפגעים,קשה,קשים,דירוג קשה,בני ברק",כמה מפגעים קשים קיימים-40,בני ברק,7
כמה מפגעים בינוניים קיימים,,112,"מפגעים,בינוני,בינוניים,דירוג בינוני,בני ברק",כמה מפגעים בינוניים קיימים-112,בני ברק,8
כמה מפגעים קלים קיימים,,28,"מפגעים,קל,קלים,דירוג קל,בני ברק",כמה מפגעים קלים קיימים-28,בני ברק,9
כמה תמרורים תקולים קיימים ,,1,"מפגעים,תמרור,תמרורים,תקול,תקולים",כמה תמרורים תקולים קיימים -1,בני ברק,10
כמה עמודי חסימה תקולים קיימים,,0,"מפגעים,עמודי חסימה,עמוד,חסימה,עמודים,תקול,תקולים,בני ברק",כמה עמודי חסימה תקולים קיימים-0,בני ברק,11
כמה מפגעים יש ,,180,"מפגעים,מפגע,יש,סהכ,סה״כ,בסך הכל,בסכום הכולל,בני ברק",כמה מפגעים יש -180,בני ברק,12
