questions,links,notes,TAGS,semanticsearch,client,id
כמה תברים קיימים בעיר בסהכ,,257,"תברים,סהכ,סה״כ,בסך הכל,בסכום הכולל,בני ברק",כמה תברים קיימים בעיר בסהכ:257,בני ברק,0
כמה תב"רים מדרכה קיימים,,223,"תברים,תב"רים מדרכה,מדרכה,במדרכה,מדרכות,בני ברק",כמה תב"רים מדרכה קיימים:223,בני ברק,1
כמה תב"רים כביש קיימים,,30,"תברים,תב"רים כביש,כביש,בכביש,כבישים,בני ברק",כמה תב"רים כביש קיימים:30,בני ברק,2
כמה תב"רים תמרורים קיימים,,1,"תברים,תב"רים תמרור,תמרורים,בני ברק",כמה תב"רים תמרורים קיימים:1,בני ברק,3
כמה תב"רים תברואה קיימים,,2,"תברים,תב"רים תברואה,בני ברק",כמה תב"רים תברואה קיימים:2,בני ברק,4
כמה תב"רים תאורה וחשמל קיימים,,0,"תברים,תאורה,חשמל,תאורה,חשמל,תאורה וחשמל,בני ברק",כמה תב"רים תאורה וחשמל קיימים:0,בני ברק,5
כמה תב"רים ריהוט והצללה קיימים,,0,"תברים,ריהוט,הצללה,ריהטים,הצללות,ריהוט והצללהתבני ברק",כמה תב"רים ריהוט והצללה קיימים:0,בני ברק,6
כמה תברים קשים קיימים,,42,"תברים,קשה,קשים,דירוג קשה,בני ברק",כמה תברים קשים קיימים:42,בני ברק,7
כמה תברים בינוניים קיימים,,176,"תברים,בינוני,בינוניים,דירוג בינוני,בני ברק",כמה תברים בינוניים קיימים:176,בני ברק,8
כמה תברים קלים קיימים,,39,"תברים,קל,קלים,דירוג קל,בני ברק",כמה תברים קלים קיימים:39,בני ברק,9
כמה תברים יש ,,257,"תברים,מפגע,יש,סהכ,סה״כ,בסך הכל,בסכום הכולל,בני ברק",כמה תברים יש :257,בני ברק,12
כמה תברים נפתחו בחודש האחרון,,10,"נרשמו,חודש,אחרון     ",כמה תברים נרשמו בחודש האחרון:10,בני ברק,13
כמה תברים חדשים נוספו היום,,0,"חדשים,נוספו,היום     ",כמה תברים חדשים נוספו היום:0,בני ברק,14
כמה תברים חדשים נוספו בשבוע האחרון,,0,"חדשים,נוספו,שבוע,אחרון ",כמה תברים חדשים נוספו בשבוע האחרון:0,בני ברק,15
כמה תברים תוקנו היום,,0,"תוקנו,היום          ",כמה תברים תוקנו היום:0,בני ברק,16
כמה תברים תוקנו בחודש האחרון,,0,"תוקנו,חודש,אחרון     ",כמה תברים תוקנו בחודש האחרון:0,בני ברק,17
מהי הסטטיסטיקה של תברים לפי שכונות,,0,"תברים,לפי,שכונות  ",מהי הסטטיסטיקה של תברים לפי שכונות:0,בני ברק,18
מהי הסטטיסטיקה של תברים לפי אזורים בעיר,,0,"תברים,לפי,אזורים,עיר ",מהי הסטטיסטיקה של תברים לפי אזורים בעיר:0,בני ברק,19
כמה תלונות על תברים התקבלו היום,,0,"תברים,התקבלו,היום   ",כמה תלונות על תברים התקבלו היום:0,בני ברק,20
כמה תלונות על תברים טופלו היום,,0,"תברים,טופלו,היום   ",כמה תלונות על תברים טופלו היום:0,בני ברק,21
כמה תברים פתוחים יש כרגע,,257,"פתוחים,כרגע     ",כמה תברים פתוחים יש כרגע:257,בני ברק,22
כמה תברים סגורים (נסגרו) יש כרגע,,30,"סגורים,תוקנו,כרגע  ",כמה תברים סגורים (נסגרו) יש כרגע:30,בני ברק,23
כמה תברים יש בכל קטגוריה,,0,קטגוריה              ,כמה תברים יש בכל קטגוריה:0,בני ברק,24
כמה זמן בממוצע לוקח לתקן מפגע,,0,"ממוצע,לתקן,מפגע     ",כמה זמן בממוצע לוקח לתקן מפגע:0,בני ברק,25
מהו המפגע החמור ביותר שזוהה היום,,0,"חמור ביותר,זוהה,היום     ",מהו המפגע החמור ביותר שזוהה היום:0,בני ברק,26
מהו המפגע החמור ביותר שזוהה השבוע,,0,"חמור ביותר,זוהה,שבוע     ",מהו המפגע החמור ביותר שזוהה השבוע:0,בני ברק,27
כמה תב"רים מדרכה נותרו ללא טיפול,,0,"מדרכה,ללא,טיפול      ",כמה תב"רים מדרכה נותרו ללא טיפול:0,בני ברק,28
כמה תב"רים כביש תוקנו היום,,0,"כביש,תוקנו,היום      ",כמה תב"רים כביש תוקנו היום:0,בני ברק,29
שכונות עם הכי הרבה תברים,,"כהנמן,סובב עירייה,מרכז העיר","הרבה תברים,שכונות עם תברים,כמות גדולה של תברים,מספר גדול של תברים","שכונות עם הכי הרבה תברים:כהנמן,סובב עירייה,מרכז העיר",בני ברק,30
מהן השכונות עם הכי מעט פרוייקטים שיש בהם תברים,,"פרדס כץֿ,ארזים,א.ת בסר","מעט תברים,שכונות עם מעט תברים,כמות קטנה של תברים,מספר קטן של תברים","מהן השכונות עם הכי מעט תברים:פרדס כץֿ,ארזים,א.ת בסר",בני ברק,31
כמה תברים נותרו מיום האתמול,,0,"נותרו,אתמול         ",כמה תברים נותרו מיום האתמול:0,בני ברק,32
כמה תברים דווחו יותר מפעם אחת,,0,"דווחו,יותר,פעם,אחת     ",כמה תברים דווחו יותר מפעם אחת:0,בני ברק,33
מהי הקטגוריה עם הכי הרבה תברים,,שפע,"הכי הרבה,תברים     ",מהי הקטגוריה עם הכי הרבה תברים:שפע,בני ברק,34
מהי הקטגוריה עם הכי מעט תברים,,0,"הכי מעט,תברים       ",מהי הקטגוריה עם הכי מעט תברים:0,בני ברק,35
כמה תברים יש במערכת שמחכים לבדיקה,,0,"מערכת,מחכים,בדיקה    ",כמה תברים יש במערכת שמחכים לבדיקה:0,בני ברק,36
